release_id,price,status,condition,sleeve_condition,notes,genre_override,decade_override
3101278,,available,Not yet inspected,,,,
8715703,,available,Not yet inspected,,,,
6062754,,available,Not yet inspected,,,,
3240094,,available,Not yet inspected,,,,
34733196,,available,Not yet inspected,,,,
3130529,,available,Not yet inspected,,,,
3108426,,available,Not yet inspected,,,,
2957780,,available,Not yet inspected,,,,
1124662,,available,Not yet inspected,,,,
2489776,,available,Not yet inspected,,,,
5335826,,available,Not yet inspected,,,,
12206966,,available,Not yet inspected,,,,
10077562,,available,Not yet inspected,,,,
7541733,,available,Not yet inspected,,,,
3751863,,available,Not yet inspected,,,,
6983097,,available,Not yet inspected,,,,
13034022,,available,Not yet inspected,,,,
13449694,,available,Not yet inspected,,,,
7729567,,available,Not yet inspected,,,,
2500791,,available,Not yet inspected,,,,
1228340,,available,Not yet inspected,,,,
1734963,,available,Not yet inspected,,,,
3276436,,available,Not yet inspected,,,,
3780211,,available,Not yet inspected,,,,
3671099,,available,Not yet inspected,,,,
28107301,,available,Not yet inspected,,,,
1595123,,available,Not yet inspected,,,,
25896859,,available,Not yet inspected,,,,
2304226,,available,Not yet inspected,,,,
790743,,available,Not yet inspected,,,,
19201792,,available,Not yet inspected,,,,
3076280,,available,Not yet inspected,,,,
19182997,,available,Not yet inspected,,,,
1954750,,available,Not yet inspected,,,,
2802362,,available,Not yet inspected,,,,
9693256,,available,Not yet inspected,,,,
969015,,available,Not yet inspected,,,,
16450194,,available,Not yet inspected,,,,
7266872,,available,Not yet inspected,,,,
4857643,,available,Not yet inspected,,,,
5549958,,available,Not yet inspected,,,,
4403142,,available,Not yet inspected,,,,
3877504,,available,Not yet inspected,,,,
5117256,,available,Not yet inspected,,,,
6839228,,available,Not yet inspected,,,,
6056443,,available,Not yet inspected,,,,
10134144,,available,Not yet inspected,,,,
5166579,,available,Not yet inspected,,,,
3341506,,available,Not yet inspected,,,,
9950230,,available,Not yet inspected,,,,
1176618,,available,Not yet inspected,,,,
6780598,,available,Not yet inspected,,,,
5408156,,available,Not yet inspected,,,,
5405557,,available,Not yet inspected,,,,
7582593,,available,Not yet inspected,,,,
4151774,,available,Not yet inspected,,,,
2513976,,available,Not yet inspected,,,,
6875455,,available,Not yet inspected,,,,
8368801,,available,Not yet inspected,,,,
4063757,,available,Not yet inspected,,,,
24148589,,available,Not yet inspected,,,,
7023179,,available,Not yet inspected,,,,
1590379,,available,Not yet inspected,,,,
19390579,,available,Not yet inspected,,,,
5614245,,available,Not yet inspected,,,,
1838906,,available,Not yet inspected,,,,
11954012,,available,Not yet inspected,,,,
804766,,available,Not yet inspected,,,,
23697290,,available,Not yet inspected,,,,
3402192,,available,Not yet inspected,,,,
12951365,,available,Not yet inspected,,,,
3054482,,available,Not yet inspected,,,,
3519759,,available,Not yet inspected,,,,
3334941,,available,Not yet inspected,,,,
1907409,,available,Not yet inspected,,,,
9406376,,available,Not yet inspected,,,,
4007800,,available,Not yet inspected,,,,
745229,,available,Not yet inspected,,,,
5241127,,available,Not yet inspected,,,,
5289936,,available,Not yet inspected,,,,
3887098,,available,Not yet inspected,,,,
4252036,,available,Not yet inspected,,,,
4875524,,available,Not yet inspected,,,,
4928726,,available,Not yet inspected,,,,
2395536,,available,Not yet inspected,,,,
1898724,,available,Not yet inspected,,,,
3056200,,available,Not yet inspected,,,,
3757982,,available,Not yet inspected,,,,
12610806,,available,Not yet inspected,,,,
2306469,,available,Not yet inspected,,,,
8016357,,available,Not yet inspected,,,,
